ObservationDate,Confirmed,Deaths,Recovered
2020-09-13,0.019215901135727142,0.030476262911517584,0.05950720313209081
2020-09-14,0.019317993696526137,0.03054326819570522,0.060069502830040374
2020-09-15,0.019433955979086856,0.030732201128168726,0.06056851832351082
2020-09-16,0.01954699847498033,0.030883002247850976,0.061307586558866214
2020-09-17,0.01968030011502014,0.031017640500387262,0.06166590575423116
2020-09-18,0.019825766062655514,0.03115871251557388,0.06205748132095644
2020-09-19,0.019951904963197434,0.0312732648749579,0.06256678929724205
2020-09-20,0.020067943695358706,0.03131327974022218,0.06288782251712562
2020-09-21,0.020220763506493353,0.03137997118232932,0.06350143898080932
2020-09-22,0.020339104547778947,0.03154238445899022,0.06425419816028678
2020-09-23,0.020450218161443105,0.03170730847229516,0.06481972639647789
2020-09-24,0.020590000375314343,0.03184728204020001,0.06578894328648101
2020-09-25,0.020746042831149194,0.03199541550219798,0.06620530334602301
2020-09-26,0.020879426801528062,0.03211561701903107,0.06676663205502775
2020-09-27,0.020992237008250626,0.032163007173187194,0.06715068245743062
2020-09-28,0.021090495327545002,0.03221808645831568,0.0678383368281574
2020-09-29,0.02122027440522091,0.032349743211087176,0.06829220133569337
2020-09-30,0.021340020943008964,0.032502427383252444,0.0689569160925986
2020-10-01,0.021474610464781156,0.03264067481971453,0.06944148812551473
2020-10-02,0.021637195242201725,0.03277343001976779,0.06975023833524624
2020-10-03,0.021780882266439632,0.03288217630066248,0.07033169079013253
2020-10-04,0.021886235696739104,0.03294117861179727,0.07068068849162712
2020-10-05,0.022003041865275148,0.0330154022638365,0.07124976083746686
2020-10-06,0.02213664636334792,0.033123834702650685,0.07166845127047645
2020-10-07,0.022283579555240046,0.0332678882176021,0.07282162201607713
2020-10-08,0.022456338010272563,0.033421827758089384,0.07334005728844412
2020-10-09,0.022622892286183343,0.03357247195673139,0.07377304553366629
2020-10-10,0.02278512421929367,0.03367478447497574,0.07435306577985895
2020-10-11,0.022920484117809888,0.03374539894308918,0.07464664428732752
2020-10-12,0.0230444853699056,0.033805499701505724,0.07541496356464585
2020-10-13,0.023198593062772627,0.0339316642178684,0.07584863150212941
2020-10-14,0.023374030194193724,0.03408764373187897,0.07660602715381842
2020-10-15,0.023565512920623033,0.034218986642569955,0.0771304340081961
2020-10-16,0.02376912761058613,0.03436366784168238,0.07761937549136394
2020-10-17,0.023936308185147588,0.0344785340431469,0.07817851947524282
2020-10-18,0.024082065229338912,0.034549933116461595,0.07850780610115743
2020-10-19,0.024281951531090463,0.03462305832121906,0.0794415333452271
2020-10-20,0.024464818975611386,0.03476789644137174,0.07998880698925546
2020-10-21,0.02464912132032729,0.03494521721685659,0.08067349984370052
2020-10-22,0.024873812577088785,0.03508581846892245,0.08139450768468214
2020-10-23,0.02511715459601577,0.0352369334306852,0.0819375575268005
2020-10-24,0.02536098177586934,0.03538349768228065,0.0826956328707509
2020-10-25,0.025545331166493275,0.035450659887508534,0.08308941743732566
2020-10-26,0.025744026618697763,0.035530532696996846,0.08400158872682016
2020-10-27,0.025973240163368848,0.03568604144788666,0.08466212823126264
2020-10-28,0.026204888333780596,0.03584751319830605,0.08540187615887943
2020-10-29,0.026473964464401162,0.03600631729104115,0.08628052405505376
2020-10-30,0.026766834063008983,0.03616967209394357,0.08686593328989022
2020-10-31,0.027030864519993102,0.036315451740337755,0.08769190503580768
2020-11-01,0.027339538603330472,0.03639202920798077,0.0881313018080657
2020-11-02,0.027592278042386877,0.03647582504347538,0.0892091480862714
2020-11-03,0.02796729861752657,0.03672580026059694,0.08994100672871146
2020-11-04,0.028273058794935194,0.036905317930645325,0.09087308329157492
2020-11-05,0.02865370723682323,0.03708860170565975,0.09180096032725202
2020-11-06,0.029030915446686418,0.03728694990053839,0.09250589830119674
2020-11-07,0.02940692104552553,0.037460504571057186,0.0934932484097445
2020-11-08,0.029745345784954722,0.03754838035359835,0.09422212126117921
2020-11-09,0.03000094326292408,0.03767015108083396,0.09537162652351316
2020-11-10,0.03042826124558,0.037899412720642255,0.09617337209525718
2020-11-11,0.030859395827525025,0.03813322507061786,0.09703031838851463
2020-11-12,0.03134408335465688,0.038347893053682705,0.09834311971664493
2020-11-13,0.03187449362365748,0.0385361983019852,0.09940853733635684
2020-11-14,0.03236777290974371,0.03874757094320475,0.10070233155589214
2020-11-15,0.03276832177072934,0.038869341670440365,0.10134415524842308
2020-11-16,0.03324744023849789,0.03899942921280934,0.10304161384704677
2020-11-17,0.03372943144702566,0.03926949032308317,0.10422692432672123
2020-11-18,0.034238635772980766,0.03957046487828666,0.1056142005069198
2020-11-19,0.03480185762246452,0.03989246685288393,0.10706874194627129
2020-11-20,0.03538492402403009,0.040199561328657256,0.1082150186703637
2020-11-21,0.0359120557813147,0.04045361649282537,0.10995721558462032
2020-11-22,0.036343654941601536,0.04061555900636552,0.10987985204044119
2020-11-23,0.0368565994172452,0.04078817215064281,0.11247935936880957
2020-11-24,0.03737267538614225,0.041122257045339485,0.1140102205392245
2020-11-25,0.03791160684523517,0.041477369359429944,0.11739149534179706
2020-11-26,0.03824187500035929,0.04169470500017908,0.11824710652525537
2020-11-27,0.03885402459419647,0.04193777569152955,0.12009788427826731
2020-11-28,0.03931134904506914,0.04215118830627238,0.12193346605429271
2020-11-29,0.03972368878675532,0.042313758503973536,0.12295220338048203
2020-11-30,0.04019582387755036,0.042524974224152835,0.12492547138888395
2020-12-01,0.04074925723779418,0.042924181350554126,0.12687380925612743
2020-12-02,0.0413448496123733,0.04336544331574298,0.1291931862739131
2020-12-03,0.04200235440192272,0.043828831147607376,0.13118104339121106
2020-12-04,0.04268682825825156,0.04425236103524774,0.1327921810726396
2020-12-05,0.043320601327568015,0.04462159624296089,0.13535649005175798
2020-12-06,0.04385284344661261,0.044832811963140186,0.13653182362002433
2020-12-07,0.04442579791832052,0.04508451331170452,0.1387192917896552
2020-12-08,0.04508588729244245,0.04549548951612472,0.14047576224140076
2020-12-09,0.04574023412541521,0.045994812266206844,0.1429755975545826
2020-12-10,0.046420973712794,0.04646479078176182,0.14528536178181448
2020-12-11,0.047126594704783295,0.047000989976303184,0.14893305167612408
2020-12-12,0.0477663749484816,0.04738685881428305,0.1516346099425938
2020-12-13,0.04831829107819138,0.04764201242573293,0.15288419989041585
2020-12-14,0.04889113675623697,0.04790093214214886,0.1553468463270108
2020-12-15,0.0495056915721223,0.0483900550246146,0.0
2020-12-16,0.05023108066659284,0.048965013716098224,0.0
2020-12-17,0.05093596068553062,0.04951408043594025,0.0
2020-12-18,0.051676842585589994,0.04997935132028767,0.0
2020-12-19,0.052241117087265976,0.05039566284007644,0.0
2020-12-20,0.052793374299808994,0.05066462550306851,0.0
2020-12-21,0.05337865185905207,0.050965286216191494,0.0
2020-12-22,0.05396087731501156,0.05149866083200832,0.0
2020-12-23,0.05463603902191929,0.05203595847383144,0.0
2020-12-24,0.055207070492136384,0.05249197101680399,0.0
2020-12-25,0.055494185788118024,0.0527155834991632,0.0
2020-12-26,0.05615955606541657,0.05301122273899812,0.0
2020-12-27,0.05661718043395294,0.05323514906343784,0.0
2020-12-28,0.05713066887790822,0.05354946190706276,0.0
2020-12-29,0.057719483701361464,0.054119242204218064,0.0
2020-12-30,0.05840660094964786,0.05470471460539857,0.0
2020-12-31,0.05909954895016099,0.055250799825475816,0.0
2021-01-01,0.05955127199760858,0.055588023140977535,0.0
2021-01-02,0.06043429428767931,0.0559814241888895,0.0
2021-01-03,0.06104808460755911,0.056208488934134264,0.0
2021-01-04,0.061589941734057775,0.05653676775034162,0.0
2021-01-05,0.062281254889266786,0.057119572493837846,0.0
2021-01-06,0.0630323545724769,0.057735644497867514,0.0
2021-01-07,0.06385062993161839,0.05836097484327205,0.0
2021-01-08,0.06471867104035013,0.05900544955558735,0.0
2021-01-09,0.06548521060250254,0.05952658433026451,0.0
2021-01-10,0.06611223846475489,0.05984026948972842,0.0
2021-01-11,0.06674440021172125,0.060170274437378546,0.0
2021-01-12,0.06741162880238705,0.06087233917146635,0.0
2021-01-13,0.06808897814401828,0.061504574042641987,0.0
2021-01-14,0.06878204375930148,0.06213006130908678,0.0
2021-01-15,0.06949576252821081,0.06274079799774787,0.0
2021-01-16,0.07008877619895591,0.06327495721876596,0.0
2021-01-17,0.07061152092531653,0.06357263643212416,0.0
2021-01-18,0.0710332169219626,0.0638135102289111,0.0
2021-01-19,0.07155279781100805,0.06424221851087979,0.0
2021-01-20,0.07209157931126911,0.06493392645631095,0.0
2021-01-21,0.07266147579895493,0.0655936225095307,0.0
2021-01-22,0.07322236005488335,0.06619698390929996,0.0
2021-01-23,0.0737240252740763,0.06672188478894316,0.0
2021-01-24,0.07410939594898307,0.06701987784438186,0.0
2021-01-25,0.07455624092384157,0.06732948305679921,0.0
2021-01-26,0.07499006300328293,0.0679582656650893,0.0
2021-01-27,0.0754427181477834,0.06857967298448754,0.0
2021-01-28,0.07593849380736459,0.06921316322398519,0.0
2021-01-29,0.07642826523293317,0.06978341428426126,0.0
2021-01-30,0.07684671506192503,0.07022059630240354,0.0
2021-01-31,0.07717602759704224,0.07051105714791014,0.0
2021-02-01,0.07757357140065232,0.0708354129381112,0.0
2021-02-02,0.07791269300759425,0.07137349518513558,0.0
2021-02-03,0.07827036246377783,0.07198642876836021,0.0
2021-02-04,0.07863489474179561,0.07257268577474199,0.0
2021-02-05,0.07903007154815782,0.07315141057119166,0.0
2021-02-06,0.07933583172556645,0.07356583903849741,0.0
2021-02-07,0.07959942994827052,0.0737911776522994,0.0
2021-02-08,0.07986498939726569,0.074044918974387,0.0
2021-02-09,0.08014618278957378,0.0745272942521219,0.0
2021-02-10,0.08042603831387221,0.07504670289535628,0.0
2021-02-11,0.08073701176596465,0.07554994867144471,0.0
2021-02-12,0.08102998427749629,0.07600957039834305,0.0
2021-02-13,0.08128615512746978,0.07635448284481713,0.0
2021-02-14,0.08147734087660465,0.0765366681725498,0.0
2021-02-15,0.08163666772489399,0.07668699852911129,0.0
2021-02-16,0.08182108474401072,0.07696129650747192,0.0
2021-02-17,0.08202725755522307,0.07733869160927818,0.0
2021-02-18,0.08223285993480052,0.07773397570967316,0.0
2021-02-19,0.08246602239537705,0.07814683496657639,0.0
2021-02-20,0.08267633230612698,0.07843211741775467,0.0
2021-02-21,0.08284416858303163,0.07862779795494902,0.0
2021-02-22,0.08300947614237955,0.07883540449120252,0.0
2021-02-23,0.08322195604563747,0.07919224293673575,0.0
2021-02-24,0.08344169572057858,0.07969093800265686,0.0
2021-02-25,0.0836695772779785,0.08007476686711346,0.0
2021-02-26,0.08389700307814436,0.08039927957835476,0.0
2021-02-27,0.08408687742259283,0.08063701495433666,0.0
2021-02-28,0.08423788596626823,0.08080868657237243,0.0
2021-03-01,0.08440910072744345,0.08104704963251534,0.0
2021-03-02,0.08457687819696307,0.0813530456610069,0.0
2021-03-03,0.08477445042811328,0.08174393597227483,0.0
2021-03-04,0.08497454549608173,0.08204804894828337,0.0
